balance,username,password,type
1450.56,mikey23,huOWIN34;>,checking
98234.77,sarahx91,9@LmP#2vQ!,savings
250000.00,jasonK44,Zx!29&bNm$,mma
7500.45,emily2024,Qw#8Lp@2Xz,cd
42.18,davidr77,7^kL!mP3@q,checking
1987654.32,oliviaM12,Ab$29!xY#7,savings
320.99,noahT88,P!9qWe#4Rt,mma
87500.12,avaL56,2@XcV!8nMb,cd
123456789.01,liamB33,9#PlK@7mN!,checking
6543.21,sofiaZ19,Wx!45@Qe$r,savings
987654.44,ethanJ62,7&NmQ#2Lp!,mma
456.78,isabellaP90,Rt@8Yh!3Kq,cd
7890.12,jamesD15,5$UiO#9pLm,checking
23456789.99,miaF48,Q#2wE!7rTy,savings
876.54,benjaminX27,8@ZaQ!6xSw,mma
34500.67,charlotteN81,Po!4Lm#9Qw,cd
999999999.99,elijahC73,1#AsD!5FgH,checking
150.25,ameliaR34,Zx@7Cv!2Bn,savings
76234.88,loganV66,6$TyU#3iOp,mma
4300.00,harperW22,Qa!9Ws#4Ed,cd
582.13,alexH11,2@RfV!8tGb,checking
9200000.45,evelynK58,Ui#5Op!1As,savings
67.89,jacobM99,4$GhJ#7KlZ,mma
1234.56,abigailT40,Pl!3Ok#8Ij,cd
543210.98,michaelY75,9@MnB!2VcX,checking
8888.88,ellaS29,Qw#6Er!4Ty,savings
27000.33,danielA53,7$UiO#1PaS,mma
1.99,averyG17,Zx!8Cv#5Bn,cd
6543210.12,henryL84,As@4Df!9Gh,checking
987.65,scarlettE31,Ty#2Ui!7Op,savings
450.50,sebastianQ68,Po!6Lk#3Jh,mma
210000.00,graceB24,Qa@1Ws!8Ed,cd
700000000.70,jackR92,Zx#5Cv!2Bn,checking
890.12,chloeD39,Ui!7Op#4As,savings
34567.89,owenF61,As@9Df!3Gh,mma
7654.32,victoriaH18,Ty#6Ui!1Op,cd
12.34,gabrielJ47,Po!8Lk#5Jh,checking
54321.00,lilyK83,Qa@2Ws!7Ed,savings
999.99,wyattM26,Zx#4Cv!9Bn,mma
1200000.45,hannahN59,Ui!3Op#6As,cd
678.90,carterP14,As@8Df!2Gh,checking
43210.98,zoeyR71,Ty#5Ui!4Op,savings
250.75,jaydenS35,Po!1Lk#7Jh,mma
890000.00,noraT88,Qa@6Ws!3Ed,cd
765.43,lukeV23,Zx#9Cv!5Bn,checking
345678.12,leahW64,Ui!2Op#8As,savings
89.01,julianX16,As@7Df!4Gh,mma
6789.54,stellaY52,Ty#3Ui!9Op,cd
210.00,isaacZ97,Po!5Lk#2Jh,checking
4567890.67,auroraA41,Qa@8Ws!1Ed,savings
123.45,anthonyB69,Zx#6Cv!7Bn,mma
78900.23,savannahC28,Ui!4Op#5As,cd
567.89,christopherD74,As@1Df!8Gh,checking
34000000.00,brooklynE13,Ty#7Ui!2Op,savings
901.23,andrewF57,Po!9Lk#4Jh,mma
65432.10,claireG85,Qa@3Ws!6Ed,cd
432.10,joshuaH32,Zx#8Cv!1Bn,checking
870000.55,skylarI60,Ui!5Op#9As,savings
76.54,nathanJ21,As@2Df!7Gh,mma
9876.54,lucyK49,Ty#4Ui!3Op,cd
100.00,aaronL93,Po!6Lk#8Jh,checking
7654321.89,annaM36,Qa@9Ws!5Ed,savings
543.21,thomasN72,Zx#1Cv!4Bn,mma
25000.00,carolineO15,Ui!8Op#2As,cd
678.12,charlesP54,As@5Df!9Gh,checking
432100.43,genesisQ87,Ty#6Ui!1Op,savings
98.76,ezraR25,Po!2Lk#7Jh,mma
8765.43,kennedyS63,Qa@4Ws!8Ed,cd
345.67,adrianT19,Zx#7Cv!3Bn,checking
92000.10,willowU46,Ui!9Op#6As,savings
654.98,jonathanV79,As@3Df!1Gh,mma
7890123.45,aliceW30,Ty#8Ui!5Op,cd
210.98,eastonX67,Po!4Lk#9Jh,checking
45600.76,autumnY12,Qa@7Ws!2Ed,savings
543.09,cooperZ58,Zx#5Cv!6Bn,mma
1000000000.00,samanthaA94,Ui!1Op#4As,cd
321.45,robertB37,As@6Df!8Gh,checking
654987.32,quinnC70,Ty#2Ui!7Op,savings
87.65,ianD24,Po!5Lk#3Jh,mma
7654.21,madelynE55,Qa@8Ws!9Ed,cd
432.87,westonF89,Zx#4Cv!1Bn,checking
87000.65,elenaG18,Ui!7Op#5As,savings
654.32,josiahH43,As@9Df!2Gh,mma
9876543.21,naomiI76,Ty#3Ui!8Op,cd
123.98,everettJ29,Po!6Lk#4Jh,checking
45678.90,rubyK62,Qa@1Ws!7Ed,savings
765.09,axelL11,Zx#8Cv!5Bn,mma
234500.67,bellaM50,Ui!2Op#9As,cd
890.76,romanN83,As@4Df!6Gh,checking
7650000.00,serenityO35,Ty#7Ui!1Op,savings
543.88,milesP68,Po!9Lk#2Jh,mma
65432.87,ivyQ22,Qa@5Ws!8Ed,cd
321.09,sawyerR57,Zx#6Cv!3Bn,checking
87000000.12,adelineS91,Ui!4Op#7As,savings
98.45,jasperT34,As@1Df!9Gh,mma
7654.98,lydiaU65,Ty#5Ui!2Op,cd
432.56,legendV14,Po!7Lk#6Jh,checking
98765.43,paisleyW48,Qa@2Ws!4Ed,savings
654.11,damianX73,Zx#9Cv!8Bn,mma
3456789.00,josephineY27,Ui!6Op#1As,cd
210.45,brooksZ59,As@3Df!5Gh,checking
456789.65,athenaA96,Ty#8Ui!7Op,savings
789.34,ryderB31,Po!4Lk#9Jh,mma
65400.12,vivianC66,Qa@7Ws!2Ed,cd
321.78,kingstonD17,Zx#5Cv!6Bn,checking
8700.90,juliaE52,Ui!9Op#3As,savings
543.67,calebF84,As@2Df!8Gh,mma
1234567.89,valentinaG28,Ty#6Ui!1Op,cd
210.87,riverH61,Po!5Lk#4Jh,checking
45600.43,claraI13,Qa@8Ws!7Ed,savings
765.22,nicolasJ47,Zx#1Cv!9Bn,mma
987654321.12,hadleyK78,Ui!3Op#5As,cd
123.67,coltonL20,As@7Df!2Gh,checking
65432.45,reaganM56,Ty#4Ui!8Op,savings
432.99,diegoN90,Po!6Lk#1Jh,mma
789000.34,melanieO33,Qa@9Ws!5Ed,cd
210.54,carsonP69,Zx#2Cv!7Bn,checking
45678901.23,allisonQ16,Ui!8Op#4As,savings
654.76,xavierR53,As@5Df!9Gh,mma
9876.01,sadieS86,Ty#1Ui!3Op,cd
321.66,jeremiahT25,Po!7Lk#8Jh,checking
87000.89,adrianaU60,Qa@4Ws!2Ed,savings
543.44,declanV12,Zx#6Cv!5Bn,mma
765432.10,estherW49,Ui!9Op#7As,cd
210.99,silasX74,As@3Df!1Gh,checking
45678.21,margaretY27,Ty#8Ui!6Op,savings
654.55,brandonZ58,Po!2Lk#4Jh,mma
999999999.99,ceciliaA95,Qa@7Ws!9Ed,cd
1234.00,elliotB36,Zx#5Cv!3Bn,checking
87654.32,jadeC63,Ui!4Op#8As,savings
